canonicalName,hairs,spines,clonal_cat,annual_perennial_cat,woody_herbaceous_cat,REFERENCE,NOTES
Eugenia brasiliensis,0,0,0,Perennial,Woody,https://pfaf.org/user/Plant.aspx?LatinName=Eugenia+brasiliensis,
Eugenia cerasiflora,0,0,,,Woody,Plants of the world online - Kew https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:593963-1,
Eugenia luschnathiana,0,0,0,Perennial,,https://inaturalist.nz/taxa/430998-Eugenia-luschnathiana,
Eugenia uniflora,0,0,0,Perennial,,https://inaturalist.ala.org.au/taxa/83642-Eugenia-uniflora,
Euonymus alatus,0,0,0,Perennial,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279120,
Eupatorium adenophorum,1,0,0,Perennial,,https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Ageratina~adenophora,
Euphorbia esula,0,0,1,Perennial,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.21347,
Fallopia japonica,0,0,1,Perennial,,"https://keyserver.lucidcentral.org/weeds/data/media/Html/fallopia_japonica.htm#:~:text=This%20species%20reproduces%20by%20seeds,produced%20outside%20its%20native%20range.",
Frangula alnus,0,0,0,Perennial,,https://www.fs.usda.gov/database/feis/plants/shrub/fraaln/all.html,regenerates from root crown
Galinsoga quadriradiata,1,0,0,Annual,,"https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.120145; https://plants.ces.ncsu.edu/plants/galinsoga-quadriradiata/#:~:text=Leaf%20Description%3A,and%20originate%20at%20the%20base.",
Galium verum,,,,,,,
Genista monspessulana,1,0,0,Perennial,Woody,https://keyserver.lucidcentral.org/weeds/data/media/Html/genista_monspessulana.htm,
Geum urbanum,1,0,1,Perennial,,https://apps.lucidcentral.org/plants_se_nsw/text/entities/geum_urbanum_var._strictum.htm,
Gleditsia triacanthos,0,1,1,Perennial,,https://keyserver.lucidcentral.org/weeds/data/media/Html/gleditsia_triacanthos.htm,
Heracleum mantegazzianum,1,1,1,Perennial,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.26911,
Hieracium caespitosum,1,0,1,Perennial,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.27161,
Hieracium pilosella,1,0,1,Perennial,Herb,https://www.environment.nsw.gov.au/topics/animals-and-plants/pest-animals-and-weeds/weeds/new-and-emerging-weeds/mouse-ear-hawkweed,
Hydrangea macrophylla,0,0,,Perennial,Woody,Plantnet,
Hydrocleys nymphoides,0,0,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/WaterPoppy,
Hypericum perforatum,0,0,1,Perennial,,"https://keyserver.lucidcentral.org/weeds/data/media/Html/hypericum_perforatum.htm#:~:text=i.e.%20reticulate)%20surface.-,Reproduction%20and%20Dispersal,soil%20and%20contaminated%20agricultural%20produce.",
Hypochaeris glabra,0,0,0,Annual,,Plantnet https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Hydrangea~macrophylla,
Impatiens balsamina,0,0,1,Annual,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.28765,
Impatiens glandulifera,0,0,0,Annual,Herb,https://www.nzpcn.org.nz/flora/species/impatiens-glandulifera/,
Impatiens parviflora,0,0,0,Annual,,https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.28768,
Impatiens walleriana,0,0,1,Annual,,https://keyserver.lucidcentral.org/weeds/data/media/Html/impatiens_walleriana.htm,
